 >14.4f | getTextFromImage | INFO | Loading image from E:/E2CR/sample_images_for_ocr/R. 317 (2).jpg
 >14.4f | preProcessImage | TRACE | preProcessImage Image)
 >14.4f | is_grayscale | TRACE | is_grayscale(image.shape=(1546, 952, 3))
 >14.4f | preProcessImage | INFO | Converted to Grayscale
 >14.4f | preProcessImage | TRACE | is_grayscale(ppImage=(1546, 952)) -> False
 >14.4f | remove_border | INFO | Starting border replacement using histogram method
 >14.4f | remove_border | DEBUG | Average pixel value: 171
 >14.4f | remove_border | DEBUG | Calculated row and column pixel sums
 >14.4f | remove_border | DEBUG | Row threshold: 81462.10187580854, Column threshold: 132290.34611344538
 >14.4f | remove_border | INFO | Bounding box - y_min: 0, y_max: 1545, x_min: 0, x_max: 951
 >14.4f | apply_denoising | INFO | Applying Denoising to Image
 >14.4f | apply_denoising | TRACE | PreProcessing - Apply Denoising(image.shape=(1546, 952)
 >14.4f | apply_denoising | DEBUG | h=9, Template Window Size: 5, Search Window Size: 5
 >14.4f | apply_adaptive_threshold | INFO | Using Adaptive Thresholding
 >14.4f | apply_adaptive_threshold | TRACE | apply_adaptive_threshold(image.shape=(1546, 952), adaptiveBlockSize: 21,  adaptiveC: 4)
 >14.4f | removeSpackle | TRACE | Starting removeSpackle(image.shape=(1546, 952), area_threshold=90, threshold_value=128, max_value=128, connectivity=8)
 >14.4f | removeSpackle | DEBUG | Applying binary thresholding.
 >14.4f | removeSpackle | DEBUG | Finding connected components.
 >14.4f | removeSpackle | DEBUG | Processing 1134 connected components.
 >14.4f | removeSpackle | TRACE | Completed removeSpackle. removed 704
 >14.4f | preProcessImage | INFO | Finished image preprocessing
 >14.4f | findTextSeperation | DEBUG | Base image dimensions: height=1546, width=952
 >14.4f | findInitialBreakPoints | TRACE | findInitialBreakPoints(image: np.ndarray, axis: y, useCumulativeSum: True,threshRate: 95, distance: None, findPeaks: False, prominence: None: max_ibp_loss: 95
