Row, Cumulative Sum
0, 212160
1, 215985
2, 225675
3, 228480
4, 230010
5, 228480
6, 223125
7, 217770
8, 214965
9, 216240
10, 222360
11, 215220
12, 203490
13, 198645
14, 192015
15, 180030
16, 164730
17, 162945
18, 167025
19, 177480
20, 186150
21, 196350
22, 201195
23, 197625
24, 190485
25, 192270
26, 189975
27, 183345
28, 170340
29, 154275
30, 137700
31, 125205
32, 115515
33, 108375
34, 112455
35, 107355
36, 116025
37, 136170
38, 162945
39, 194310
40, 221085
41, 229245
42, 233325
43, 235110
44, 236130
45, 235365
46, 233835
47, 233580
48, 234090
49, 233580
50, 232815
51, 232560
52, 233070
53, 233325
54, 229245
55, 227460
56, 228225
57, 223635
58, 218535
59, 217770
60, 205275
61, 198900
62, 187935
63, 187170
64, 186660
65, 189210
66, 188445
67, 197370
68, 195330
69, 187935
70, 175950
71, 167280
72, 154785
73, 142545
74, 138210
75, 128265
76, 120360
77, 110415
78, 106080
79, 114495
80, 141270
81, 174930
82, 200685
83, 222870
84, 234090
85, 235875
86, 236895
87, 236895
88, 237660
89, 238170
90, 238425
91, 238935
92, 237915
93, 236895
94, 232050
95, 229245
96, 228225
97, 224910
98, 224910
99, 222870
100, 220065
101, 216750
102, 212670
103, 202470
104, 193800
105, 193290
106, 191250
107, 201450
108, 200685
109, 192525
110, 181560
111, 177225
112, 182835
113, 180030
114, 176205
115, 165495
116, 160650
117, 156570
118, 146115
119, 146625
120, 144585
121, 146115
122, 148665
123, 147390
124, 157845
125, 178245
126, 196860
127, 213690
128, 226440
129, 233580
130, 237150
131, 237660
132, 236640
133, 235620
134, 235110
135, 235365
136, 234090
137, 232305
138, 231540
139, 230520
140, 227970
141, 225420
142, 224655
143, 221085
144, 217770
145, 214455
146, 207060
147, 200685
148, 195330
149, 188190
150, 190485
151, 193800
152, 206295
153, 197625
154, 194310
155, 197625
156, 198645
157, 196095
158, 188955
159, 184110
160, 175440
161, 166005
162, 162180
163, 160395
164, 160650
165, 164220
166, 167790
167, 166260
168, 160140
169, 163200
170, 180285
171, 201450
172, 211395
173, 217770
174, 222870
175, 222870
176, 223125
177, 224910
178, 227715
179, 227205
180, 224655
181, 221085
182, 216495
183, 216750
184, 215220
185, 210375
186, 207570
187, 203235
188, 197880
189, 194820
190, 193800
191, 194565
192, 195330
193, 193035
194, 176205
195, 161160
196, 157335
197, 181050
198, 206295
199, 211905
200, 213180
201, 210630
202, 206805
203, 200685
204, 187935
205, 179010
206, 172125
207, 168810
208, 160140
209, 155295
210, 164475
211, 181560
212, 207315
213, 223890
214, 228225
215, 231795
216, 236640
217, 238680
218, 237405
219, 237405
220, 236385
221, 234345
222, 231540
223, 227970
224, 219555
225, 208590
226, 195585
227, 188445
228, 190230
229, 207315
230, 212670
231, 212160
232, 208335
233, 206040
234, 205530
235, 196860
236, 188190
237, 182580
238, 173400
239, 157845
240, 151725
241, 164475
242, 167535
243, 161925
244, 154020
245, 150705
246, 151725
247, 161160
248, 169575
249, 180030
250, 191250
251, 200175
252, 200430
253, 200940
254, 208080
255, 215985
256, 217515
257, 218535
258, 221340
259, 222105
260, 223125
261, 221595
262, 220320
263, 217770
264, 209610
265, 200175
266, 199665
267, 210120
268, 209865
269, 207825
270, 205020
271, 199920
272, 192270
273, 186660
274, 183090
275, 177480
276, 168810
277, 166260
278, 162435
279, 157845
280, 153255
281, 155295
282, 171105
283, 178755
284, 184875
285, 180030
286, 174165
287, 172635
288, 168300
289, 163455
290, 149430
291, 146880
292, 151725
293, 160140
294, 158355
295, 165240
296, 165240
297, 160395
298, 165495
299, 174165
300, 189210
301, 196095
302, 196095
303, 193290
304, 198390
305, 206295
306, 205275
307, 200940
308, 196095
309, 191760
310, 189210
311, 187425
312, 181815
313, 178500
314, 177735
315, 167790
316, 166005
317, 171870
318, 171870
319, 171360
320, 173400
321, 175950
322, 174930
323, 170340
324, 168045
325, 172890
326, 186660
327, 194565
328, 199665
329, 199665
330, 196605
331, 193545
332, 194055
333, 195840
334, 196350
335, 199410
