Row, Cumulative Sum
0, 149940
1, 126225
2, 86445
3, 64515
4, 73695
5, 96900
6, 120870
7, 125970
8, 131070
9, 155550
10, 180540
11, 210375
12, 233070
13, 236130
14, 232560
15, 231540
16, 233325
17, 230775
18, 228735
19, 226440
20, 220065
21, 211905
22, 210630
23, 208335
24, 207315
25, 203235
26, 200685
27, 207570
28, 214965
29, 218790
30, 219045
31, 211905
32, 205020
33, 212925
34, 218535
35, 218280
36, 218535
37, 209865
38, 198900
39, 194820
40, 200685
41, 197370
42, 189465
43, 181815
44, 183090
45, 186915
46, 183600
47, 185130
48, 182325
49, 190740
50, 196095
51, 201960
52, 199920
53, 192780
54, 188700
55, 196860
56, 206805
57, 210120
58, 206295
59, 201450
60, 203745
61, 208080
62, 211905
63, 214710
64, 215220
65, 224400
66, 229500
67, 234600
68, 230265
69, 226440
70, 222360
71, 217005
72, 212415
73, 196860
74, 195330
75, 208845
76, 214200
77, 211905
78, 212415
79, 210630
80, 197625
81, 181050
82, 158865
83, 143310
84, 140760
85, 160650
86, 176970
87, 197370
88, 207315
89, 199410
90, 205785
91, 212415
92, 211905
93, 210885
94, 210375
95, 214200
96, 209865
97, 205785
98, 199665
99, 200685
100, 203745
101, 209100
102, 211650
103, 215475
104, 221850
105, 226950
106, 228990
107, 232050
108, 231795
109, 231285
110, 228225
111, 226440
112, 220830
113, 214200
114, 203235
115, 197625
116, 176205
117, 153510
118, 138720
119, 142800
120, 147135
121, 148410
122, 154020
123, 169575
124, 183345
125, 194565
126, 202980
127, 208845
128, 213945
129, 213690
130, 215475
131, 218790
132, 227205
133, 236895
134, 239445
135, 242505
136, 239955
137, 236895
138, 235875
139, 227970
140, 222105
141, 225165
142, 221850
143, 217260
144, 215985
145, 207825
146, 196860
147, 193290
148, 198900
149, 205020
150, 207315
151, 206805
152, 203235
153, 196860
154, 182325
155, 171615
156, 155805
157, 143565
158, 132600
159, 133365
160, 154275
161, 180540
162, 199410
163, 222360
164, 234855
165, 243780
166, 244035
167, 242760
168, 243525
169, 243780
170, 243270
171, 242760
172, 241740
173, 240975
174, 239445
175, 237405
176, 236130
177, 233835
178, 226440
179, 224400
180, 223125
181, 221340
182, 217260
183, 217770
184, 221850
185, 224145
186, 223890
187, 221340
188, 218280
189, 214455
190, 212925
191, 210630
192, 201450
193, 192270
194, 175440
195, 168810
196, 154275
197, 145605
198, 142290
199, 144840
200, 160905
201, 182580
202, 202980
203, 220830
204, 236640
205, 246075
206, 247095
207, 246075
208, 245820
209, 245565
210, 245820
211, 244800
212, 243525
213, 242760
214, 242250
215, 240465
216, 239445
217, 237405
218, 235875
219, 226950
220, 219045
221, 218280
222, 221085
223, 227715
224, 224145
225, 222870
226, 220065
227, 212670
228, 203235
229, 199665
230, 190485
231, 192015
232, 189210
233, 173910
234, 161415
235, 151470
236, 141525
237, 144330
238, 153510
239, 170340
240, 199920
241, 220065
242, 229500
243, 235620
244, 243780
245, 248370
246, 248115
247, 248115
248, 247860
249, 244290
250, 242250
251, 239955
252, 236640
253, 231285
254, 222360
255, 216495
256, 208335
257, 206040
258, 201705
259, 197880
260, 197115
261, 199920
262, 193800
263, 192780
264, 186405
265, 191760
266, 196095
267, 193800
268, 185385
269, 172380
270, 158610
271, 143310
272, 134640
273, 130815
274, 132600
275, 145860
276, 169065
277, 192015
278, 208590
279, 216240
280, 221340
281, 227205
282, 225675
283, 224145
284, 225675
285, 224655
286, 223380
287, 223635
288, 227205
289, 226695
290, 223890
291, 225420
292, 225165
293, 219810
294, 217515
295, 214710
296, 211650
297, 204510
298, 196095
299, 175440
300, 164730
301, 162435
302, 168555
303, 162435
304, 172125
305, 183855
306, 199155
307, 197880
308, 197625
309, 192270
310, 176715
311, 170340
312, 166515
313, 174675
314, 180030
315, 193800
316, 207060
317, 217770
318, 222105
319, 225675
320, 221850
321, 219555
322, 215730
323, 210630
324, 210375
325, 211650
326, 214455
327, 219300
328, 220065
329, 215985
330, 213435
331, 209355
332, 206295
333, 205530
334, 207825
335, 210375
336, 216240
337, 217005
338, 209865
339, 209610
340, 207570
341, 208335
342, 205785
343, 209355
344, 211140
345, 205275
346, 199155
347, 192780
348, 202470
349, 198645
350, 196350
351, 194565
352, 195840
353, 193800
354, 192780
355, 197625
356, 201960
357, 209100
358, 214710
359, 221085
360, 225420
361, 228480
362, 224145
363, 222360
364, 220320
365, 218790
366, 214455
367, 209100
368, 210630
369, 208590
370, 205020
371, 204255
372, 199155
373, 191760
374, 194310
375, 198645
376, 206550
377, 202980
378, 198900
379, 198390
380, 200175
381, 196350
382, 195840
383, 196605
384, 206295
385, 209355
386, 207060
387, 205020
388, 202725
389, 204510
390, 204765
391, 206550
392, 209100
393, 211905
394, 211395
395, 212670
396, 225675
397, 230775
398, 232050
399, 227970
400, 224910
401, 224400
402, 220320
403, 217770
404, 219045
405, 220065
406, 217515
407, 207570
408, 200940
409, 188190
410, 188955
411, 201450
412, 203490
413, 203745
414, 210120
415, 213180
416, 222360
417, 227205
418, 225165
419, 217005
420, 205275
421, 195840
422, 182580
423, 174165
424, 174420
425, 183855
426, 196350
427, 207315
428, 221085
429, 231285
430, 237405
431, 237405
432, 237915
433, 235110
434, 229500
435, 225165
436, 222870
437, 223125
438, 223890
439, 223890
440, 221340
441, 217515
442, 209865
443, 207315
444, 197370
445, 187425
446, 180795
447, 184110
448, 191760
449, 184365
450, 180795
451, 180030
452, 178755
453, 173400
454, 169575
455, 169320
456, 174420
457, 179520
458, 186660
459, 197880
460, 216495
461, 229755
462, 233070
463, 236895
464, 239190
465, 243015
466, 240720
467, 239700
468, 237915
469, 236130
470, 235875
471, 233070
472, 230520
473, 227970
474, 222360
475, 220830
476, 217515
477, 219555
478, 220065
479, 220830
480, 222105
481, 216495
482, 210630
483, 202215
484, 192015
485, 185895
486, 182835
487, 179265
488, 182835
489, 183855
490, 187425
491, 189975
492, 192780
493, 200430
494, 204765
495, 211905
496, 209865
497, 202215
498, 195585
499, 196605
500, 203490
501, 210120
502, 219045
503, 231030
504, 243525
505, 244290
506, 242505
507, 239190
508, 238425
509, 236895
510, 235875
511, 237660
512, 240210
513, 240720
514, 239190
515, 235110
516, 232815
517, 229500
518, 226950
519, 221850
520, 221340
521, 219300
522, 217515
523, 216495
524, 215220
525, 221595
526, 221340
527, 214965
528, 208590
529, 186915
530, 184620
